c,zeta
1e-05,-128.58278729987623
1.0974987654930568e-05,-127.86122374459136
1.2045035402587812e-05,-127.1214856916362
1.3219411484660286e-05,-126.36406715578663
1.4508287784959402e-05,-125.58945255504881
1.5922827933410938e-05,-124.79811023389028
1.747528400007683e-05,-123.99048660274691
1.917910261672489e-05,-123.16700090844795
2.104904144512022e-05,-122.32804063021773
2.310129700083158e-05,-121.47395747987431
2.5353644939701114e-05,-120.60506397284696
2.782559402207126e-05,-119.72163052845299
3.053855508833412e-05,-118.82388305327436
3.351602650938841e-05,-117.9120009600259
3.678379771828634e-05,-116.98611557558459
4.037017258596558e-05,-116.04630889541102
4.430621457583878e-05,-115.09261264703964
4.8626015800653536e-05,-114.12500763223463
5.3366992312063123e-05,-113.14342332549018
5.8570208180566735e-05,-112.14773771548928
6.428073117284319e-05,-111.13777738569512
7.054802310718646e-05,-110.11331784016726
7.742636826811278e-05,-109.07408409082664
8.497534359086438e-05,-108.0197515324633
9.326033468832199e-05,-106.94994714163718
0.00010235310218990269,-105.86425104495795
0.00011233240329780277,-104.76219851081544
0.0001232846739442066,-103.64328242605694
0.00013530477745798074,-102.50695632504417
0.0001484968262254465,-101.35263804243174
0.00016297508346206434,-100.17971406242609
0.0001788649529057435,-98.98754463561423
0.00019630406500402724,-97.77546972912917
0.00021544346900318845,-96.54281586639455
0.00023644894126454073,-95.28890389847734
0.00025950242113997375,-94.01305772986264
0.0002848035868435802,-92.7146139971066
0.00031257158496882353,-91.39293266951
0.0003430469286314919,-90.04740850722486
0.00037649358067924713,-88.67748327501819
0.00041320124001153384,-87.28265857068746
0.00045348785081285824,-85.8625090877339
0.0004977023564332114,-84.41669609458657
0.0005462277217684342,-82.94498087997512
0.0005994842503189409,-81.4472378885963
0.0006579332246575682,-79.92346725547637
0.0007220809018385471,-78.37380644352237
0.0007924828983539178,-76.79854069810742
0.0008697490026177834,-75.19811205569239
0.0009545484566618347,-73.57312667996996
0.001047615752789665,-71.92436034718095
0.0011497569953977367,-70.25276195942561
0.0012618568830660211,-68.55945502741139
0.0013848863713938732,-66.84573712798276
0.0015199110829529348,-65.1130774026444
0.0016681005372000592,-63.36311221695631
0.0018307382802953698,-61.59763914364993
0.002009233002565048,-59.81860946198007
0.0022051307399030455,-58.02811938079718
0.0024201282647943836,-56.228400192922315
0.0026560877829466868,-54.421807554715286
0.0029150530628251786,-52.61081005939151
0.0031992671377973846,-50.79797723864828
0.0035111917342151347,-48.98596708803371
0.0038535285937105314,-47.17751317102065
0.0042292428743894986,-45.37541131862604
0.004641588833612782,-43.582505909067905
0.0050941380148163806,-41.801675688242675
0.005590810182512228,-40.035819078911864
0.006135907273413176,-38.2878389257911
0.006734150657750828,-36.560626635724844
0.007390722033525783,-34.85704569639864
0.008111308307896872,-33.17991459227238
0.008902150854450393,-31.53198918048832
0.009770099572992257,-29.915944639519097
0.010722672220103242,-28.334357155857134
0.011768119524349991,-26.789685565297855
0.01291549665014884,-25.2842532114501
0.014174741629268062,-23.82023032133971
0.015556761439304723,-22.399617223183103
0.01707352647470692,-21.024228742229006
0.018738174228603847,-19.69568010565726
0.020565123083486535,-18.415374666730298
0.022570197196339216,-17.184493722761236
0.024770763559917114,-16.003988653164033
0.02718588242732943,-14.874575545989003
0.029836472402833405,-13.796732417591352
0.032745491628777317,-12.770699064414147
0.03593813663804629,-11.796479522063596
0.0394420605943766,-10.873847048273857
0.043287612810830614,-10.002351495539921
0.04750810162102798,-9.181328897777838
0.0521400828799969,-8.409913063953692
0.0572236765935022,-7.687048949871006
0.0628029144183426,-7.011507566082453
0.06892612104349702,-6.3819021734951304
0.07564633275546291,-5.796705516688655
0.08302175681319753,-5.254267846308855
0.09111627561154896,-4.75283548446819
0.1,-4.290569689728815
