c,zeta
1e-05,-128.135506829256
1.0974987654930568e-05,-127.41673814903446
1.2045035402587812e-05,-126.68072887479583
1.3219411484660286e-05,-125.92809885969494
1.4508287784959402e-05,-125.15946983532267
1.5922827933410938e-05,-124.37545975215313
1.747528400007683e-05,-123.57667779151923
1.917910261672489e-05,-122.76372006468935
2.104904144512022e-05,-121.93716599369696
2.310129700083158e-05,-121.09757535141645
2.5353644939701114e-05,-120.245485925061
2.782559402207126e-05,-119.38141175757399
3.053855508833412e-05,-118.5058419149897
3.351602650938841e-05,-117.619239724301
3.678379771828634e-05,-116.72204242525633
4.037017258596558e-05,-115.81466118028354
4.430621457583878e-05,-114.89748138902769
4.8626015800653536e-05,-113.97086325729806
5.3366992312063123e-05,-113.03514257427027
5.8570208180566735e-05,-112.09063165622086
6.428073117284319e-05,-111.13762041968737
7.054802310718646e-05,-110.1763775515302
7.742636826811278e-05,-109.20715174779701
8.497534359086438e-05,-108.230172997466
9.326033468832199e-05,-107.2456538909803
0.00010235310218990269,-106.25379093698561
0.00011233240329780277,-105.25476587379192
0.0001232846739442066,-104.24874696483359
0.00013530477745798074,-103.2358902697896
0.0001484968262254465,-102.21634088508826
0.00016297508346206434,-101.19023414926266
0.0001788649529057435,-100.15769681009756
0.00019630406500402724,-99.1188481517253
0.00021544346900318845,-98.07380108082292
0.00023644894126454073,-97.02266317187383
0.00025950242113997375,-95.96553767208471
0.0002848035868435802,-94.90252446704518
0.00031257158496882353,-93.83372100858566
0.0003430469286314919,-92.75922320655124
0.00037649358067924713,-91.67912628638021
0.00041320124001153384,-90.59352561448391
0.00045348785081285824,-89.5025174934525
0.0004977023564332114,-88.40619992910183
0.0005462277217684342,-87.30467337131233
0.0005994842503189409,-86.19804143051412
0.0006579332246575682,-85.08641157154271
0.0007220809018385471,-83.96989578642956
0.0007924828983539178,-82.84861124751103
0.0008697490026177834,-81.72268094203444
0.0009545484566618347,-80.59223428921504
0.001047615752789665,-79.4574077404578
0.0011497569953977367,-78.31834536319577
0.0012618568830660211,-77.17519940852473
0.0013848863713938732,-76.02813086252257
0.0015199110829529348,-74.87730998083525
0.0016681005372000592,-73.72291680579967
0.0018307382802953698,-72.56514166503761
0.002009233002565048,-71.40418565012371
0.0022051307399030455,-70.24026107358011
0.0024201282647943836,-69.07359190210478
0.0026560877829466868,-67.90441416359232
0.0029150530628251786,-66.73297632516217
0.0031992671377973846,-65.55953963908395
0.0035111917342151347,-64.38437845317884
0.0038535285937105314,-63.2077804819989
0.0042292428743894986,-62.030047034849844
0.004641588833612782,-60.85149319653884
0.0050941380148163806,-59.67244795661439
0.005590810182512228,-58.49325428282985
0.006135907273413176,-57.314269134632845
0.006734150657750828,-56.135863412660456
0.007390722033525783,-54.95842184054208
0.008111308307896872,-53.782342775775824
0.008902150854450393,-52.608037947081485
0.009770099572992257,-51.43593211644768
0.010722672220103242,-50.266462665093876
0.011768119524349991,-49.100079103769815
0.01291549665014884,-47.93724250920111
0.014174741629268062,-46.778424890062816
0.015556761439304723,-45.62410848758549
0.01707352647470692,-44.474785017746804
0.018738174228603847,-43.33095486391585
0.020565123083486535,-42.19312623073366
0.022570197196339216,-41.06181427184349
0.024770763559917114,-39.93754020572459
0.02718588242732943,-38.82083043520622
0.029836472402833405,-37.71221568711149
0.032745491628777317,-36.61223018874373
0.03593813663804629,-35.52141089742796
0.0394420605943766,-34.44029679789824
0.043287612810830614,-33.369428279833784
0.04750810162102798,-32.30934660417729
0.0521400828799969,-31.26059346194459
0.0572236765935022,-30.223710623046934
0.0628029144183426,-29.19923966526621
0.06892612104349702,-28.18772176512716
0.07564633275546291,-27.18969752329096
0.08302175681319753,-26.205706787674263
0.09111627561154896,-25.236288428334927
0.1,-24.28198000992975
