c,zeta
1e-05,-151.19150456887326
1.0974987654930568e-05,-150.2033608402587
1.2045035402587812e-05,-149.19842577077026
1.3219411484660286e-05,-148.1764375733306
1.4508287784959402e-05,-147.1370748772626
1.5922827933410938e-05,-146.07995751995037
1.747528400007683e-05,-145.00464781987313
1.917910261672489e-05,-143.91065237214247
2.104904144512022e-05,-142.79742441571733
2.310129700083158e-05,-141.66436682762205
2.5353644939701114e-05,-140.51083580320582
2.782559402207126e-05,-139.3361452820914
3.053855508833412e-05,-138.13957217640254
3.351602650938841e-05,-136.9203624505125
3.678379771828634e-05,-135.67773808941254
4.037017258596558e-05,-134.41090497549624
4.430621457583878e-05,-133.11906167092587
4.8626015800653536e-05,-131.80140907489704
5.3366992312063123e-05,-130.4571608925736
5.8570208180566735e-05,-129.0855548161123
6.428073117284319e-05,-127.68586427945084
7.054802310718646e-05,-126.25741060924167
7.742636826811278e-05,-124.79957535679192
8.497534359086438e-05,-123.31181256268673
9.326033468832199e-05,-121.79366067972956
0.00010235310218990269,-120.24475386358321
0.00011233240329780277,-118.66483233639548
0.0001232846739442066,-117.05375153848611
0.00013530477745798074,-115.41148980771403
0.0001484968262254465,-113.73815436526863
0.00016297508346206434,-112.03398543897853
0.0001788649529057435,-110.29935841835407
0.00019630406500402724,-108.53478400602155
0.00021544346900318845,-106.7409064038264
0.00023644894126454073,-104.91849964419136
0.00025950242113997375,-103.06846224390948
0.0002848035868435802,-101.19181041449549
0.00031257158496882353,-99.28967010740361
0.0003430469286314919,-97.36326820180459
0.00037649358067924713,-95.41392315633045
0.00041320124001153384,-93.44303544454804
0.00045348785081285824,-91.452078078227
0.0004977023564332114,-89.4425874948488
0.0005462277217684342,-87.41615504890626
0.0005994842503189409,-85.37441930322439
0.0006579332246575682,-83.3190592696271
0.0007220809018385471,-81.25178870036227
0.0007924828983539178,-79.1743514849191
0.0008697490026177834,-77.08851816290641
0.0009545484566618347,-74.99608352364965
0.001047615752789665,-72.89886522775019
0.0011497569953977367,-70.79870335528734
0.0012618568830660211,-68.69746075951461
0.0013848863713938732,-66.59702408351045
0.0015199110829529348,-64.49930527982801
0.0016681005372000592,-62.40624345929228
0.0018307382802953698,-60.31980688429224
0.002009233002565048,-58.24199491390662
0.0022051307399030455,-56.17483970285128
0.0024201282647943836,-54.120407453591184
0.0026560877829466868,-52.08079902127187
0.0029150530628251786,-50.058149674831846
0.0031992671377973846,-48.05462782535636
0.0035111917342151347,-46.07243254512645
0.0038535285937105314,-44.11378971863348
0.0042292428743894986,-42.180946690770874
0.004641588833612782,-40.27616530799056
0.0050941380148163806,-38.40171328568812
0.005590810182512228,-36.55985387933515
0.006135907273413176,-34.752833887300405
0.006734150657750828,-32.98287006873005
0.007390722033525783,-31.25213411856669
0.008111308307896872,-29.56273640144588
0.008902150854450393,-27.916708704080044
0.009770099572992257,-26.315986318723763
0.010722672220103242,-24.762389815268865
0.011768119524349991,-23.257606893468534
0.01291549665014884,-21.803174727228345
0.014174741629268062,-20.40046321809093
0.015556761439304723,-19.05065956416914
0.01707352647470692,-17.754754524145383
0.018738174228603847,-16.51353071495809
0.020565123083486535,-15.32755322880747
0.022570197196339216,-14.197162793307069
0.024770763559917114,-13.122471631575984
0.02718588242732943,-60.78259039068458
0.029836472402833405,-11.139488198847056
0.032745491628777317,-10.230279694474573
0.03593813663804629,-9.374949125446893
0.0394420605943766,-8.572501181041153
0.043287612810830614,-7.821744489583506
0.04750810162102798,-7.121305526666378
0.0521400828799969,-6.469644410274048
0.0572236765935022,-5.865072316524181
0.0628029144183426,-5.305770229948106
0.06892612104349702,-4.789808724619146
0.07564633275546291,-78.34556726034202
0.08302175681319753,-78.20021801540375
0.09111627561154896,-76.68987106916381
0.1,-3.1180710952253774
