D,F/R
3.1175875733042986,8453.923246145017
5.583393989054562,5633.158163601339
8.049200404804825,4144.253742120139
10.515006820555087,3210.26951210258
12.980813236305352,2569.845079431922
15.446619652055615,2105.8931041256365
17.912426067805875,1756.7262546410668
20.37823248355614,1486.345403565929
22.8440388993064,1272.2268511680554
25.309845315056663,1099.5377779852956
27.775651730806928,958.1201289612379
30.241458146557193,840.7996246450048
32.70726456230746,742.3631517348492
35.173070978057716,658.9597732636993
37.63887739380799,587.6757860030256
40.10468380955824,526.2839801855868
42.57049022530851,473.0437910890682
45.03629664105877,426.58591924118235
47.502103056809034,385.8189164912173
49.96790947255929,349.8638200628157
52.433715888309564,318.0061355486033
54.899522304059815,289.6600980054628
57.36532871981009,264.3416674958014
59.831135135560345,241.64797205286914
62.2969415513106,221.24143358546783
64.76274796706087,202.83741419738382
67.22855438281113,186.1947679881467
69.6943607985614,171.10616556480176
72.16016721431166,157.3973909287908
74.62597363006192,144.9154344947787
77.0917800458122,133.5288002255395
79.55758646156244,123.12321788487978
82.02339287731272,113.59897698441407
84.48919929306298,104.86873006226077
86.95500570881326,96.85557392634013
89.4208121245635,89.49192687994844
91.88661854031375,82.71768329016285
94.35242495606403,76.47953041677738
96.81823137181429,70.72995761171903
99.28403778756457,65.42649735991614
101.74984420331481,60.53107983886917
104.21565061906509,56.00948292811811
106.68145703481535,51.83086189991505
109.14726345056559,47.96733988487805
111.61306986631587,44.39367226304172
114.07887628206612,41.08693672082433
116.54468269781641,38.02627625273592
119.01048911356666,35.192584608169234
121.4762955293169,32.568666771596725
123.9421019450672,30.13853210393079
