c,zeta
1e-05,-140.0648231879071
1.0974987654930568e-05,-139.22941041518033
1.2045035402587812e-05,-138.38101624090842
1.3219411484660286e-05,-137.5201599904265
1.4508287784959402e-05,-136.6473361640016
1.5922827933410938e-05,-135.76301337814803
1.747528400007683e-05,-134.86763375193883
1.917910261672489e-05,-133.96161268176152
2.104904144512022e-05,-133.04533894941713
2.310129700083158e-05,-132.11917511122445
2.5353644939701114e-05,-131.18345811944982
2.782559402207126e-05,-130.2385001316259
3.053855508833412e-05,-129.28458946784647
3.351602650938841e-05,-128.32199168074825
3.678379771828634e-05,-127.35095070741623
4.037017258596558e-05,-126.37169007677282
4.430621457583878e-05,-125.38441415005053
4.8626015800653536e-05,-124.38930937564042
5.3366992312063123e-05,-123.38654554293966
5.8570208180566735e-05,-122.37627702278934
6.428073117284319e-05,-121.35864398467726
7.054802310718646e-05,-120.3337735831426
7.742636826811278e-05,-119.30178110773613
8.497534359086438e-05,-118.2627710925293
9.326033468832199e-05,-117.21683838252765
0.00010235310218990269,-116.16406915547704
0.00011233240329780277,-115.10454189847503
0.0001232846739442066,-114.03832833954523
0.00013530477745798074,-112.96549433492243
0.0001484968262254465,-111.88610071325567
0.00016297508346206434,-110.80020407828344
0.0001788649529057435,-109.70785757179152
0.00019630406500402724,-108.60911159884259
0.00021544346900318845,-107.50401451737707
0.00023644894126454073,-106.39261329435405
0.00025950242113997375,-105.27495413061742
0.0002848035868435802,-104.1510830566621
0.00031257158496882353,-103.02104650143848
0.0003430469286314919,-101.88489183627223
0.00037649358067924713,-100.74266789590584
0.00041320124001153384,-99.59442547857974
0.00045348785081285824,-98.44021782698036
0.0004977023564332114,-97.28010109177977
0.0005462277217684342,-96.11413477939047
0.0005994842503189409,-94.94238218545287
0.0006579332246575682,-93.76491081546678
0.0007220809018385471,-92.58179279387308
0.0007924828983539178,-91.39310526278847
0.0008697490026177834,-90.19893077149334
0.0009545484566618347,-88.9993576576781
0.001047615752789665,-87.79448042135755
0.0011497569953977367,-86.58440009227807
0.0012618568830660211,-85.36922459156465
0.0013848863713938732,-84.14906908828263
0.0015199110829529348,-82.92405635153469
0.0016681005372000592,-81.69431709867027
0.0018307382802953698,-80.45999034015975
0.002009233002565048,-79.22122372168313
0.0022051307399030455,-77.97817386400742
0.0024201282647943836,-76.73100670128112
0.0026560877829466868,-75.47989781846553
0.0029150530628251786,-74.22503278875935
0.0031992671377973846,-72.96660751205624
0.0035111917342151347,-71.70482855571603
0.0038535285937105314,-70.43991349923654
0.0042292428743894986,-69.17209128478447
0.004641588833612782,-67.90160257599324
0.0050941380148163806,-66.62870012796259
0.005590810182512228,-65.35364917199502
0.006135907273413176,-64.07672781928889
0.006734150657750828,-62.798227488544796
0.007390722033525783,-61.51845336324125
0.008111308307896872,-60.23772488514675
0.008902150854450393,-58.95637629144212
0.009770099572992257,-57.67475720356055
0.010722672220103242,-56.39323327646089
0.011768119524349991,-55.11218691743454
0.01291549665014884,-53.83201808360821
0.014174741629268062,-52.55314516691439
0.015556761439304723,-51.27600597430911
0.01707352647470692,-50.00105880925718
0.018738174228603847,-48.72878365779754
0.020565123083486535,-47.45968347866297
0.022570197196339216,-46.19428559178109
0.024770763559917114,-44.933143152877385
0.02718588242732943,-43.676836693737094
0.029836472402833405,-42.42597569793082
0.032745491628777317,-41.1812001705543
0.03593813663804629,-39.943182147998776
0.0394420605943766,-38.71262708034585
0.043287612810830614,-37.490275005270426
0.04750810162102798,-36.27690141913961
0.0521400828799969,-35.07331773933721
0.0572236765935022,-33.88037124291752
0.0628029144183426,-32.69894436182675
0.06892612104349702,-31.529953215474734
0.07564633275546291,-30.37434526865308
0.08302175681319753,-29.233096017691064
0.09111627561154896,-28.10720463091186
0.1,-26.997688500929925
