c,zeta
1e-05,-140.47634031878093
1.0974987654930568e-05,-139.64975738255512
1.2045035402587812e-05,-138.81043341557387
1.3219411484660286e-05,-137.9588844254323
1.4508287784959402e-05,-137.09560130821927
1.5922827933410938e-05,-136.22104879065787
1.747528400007683e-05,-135.3356648138724
1.917910261672489e-05,-134.439860302284
2.104904144512022e-05,-133.53401926260543
2.310129700083158e-05,-132.61849916068348
2.5353644939701114e-05,-131.69363152759925
2.782559402207126e-05,-130.75972275066962
3.053855508833412e-05,-129.81705500951733
3.351602650938841e-05,-128.86588732197484
3.678379771828634e-05,-127.90645666910258
4.037017258596558e-05,-126.93897917290042
4.430621457583878e-05,-125.96365130430773
4.8626015800653536e-05,-124.98065110275495
5.3366992312063123e-05,-123.99013939183855
5.8570208180566735e-05,-122.99226097862588
6.428073117284319e-05,-121.98714582665866
7.054802310718646e-05,-120.97491019495784
7.742636826811278e-05,-119.955657737224
8.497534359086438e-05,-118.92948055703773
9.326033468832199e-05,-117.8964602162041
0.00010235310218990269,-116.85666869449467
0.00011233240329780277,-115.81016929993459
0.0001232846739442066,-114.75701752951332
0.00013530477745798074,-113.69726188075732
0.0001484968262254465,-112.63094461504868
0.00016297508346206434,-111.55810247390215
0.0001788649529057435,-110.47876734965203
0.00019630406500402724,-109.3929669121681
0.00021544346900318845,-108.3007251933271
0.00023644894126454073,-107.20206313102486
0.00025950242113997375,-106.09699907454254
0.0002848035868435802,-104.98554925307707
0.00031257158496882353,-103.86772820922941
0.0003430469286314919,-102.74354919922021
0.00037649358067924713,-101.61302456156882
0.00041320124001153384,-100.47616605595319
0.00045348785081285824,-99.33298517394996
0.0004977023564332114,-98.18349342336126
0.0005462277217684342,-97.02770258785958
0.0005994842503189409,-95.8656249637382
0.0006579332246575682,-94.69727357564722
0.0007220809018385471,-93.5226623733307
0.0007924828983539178,-92.34180641156821
0.0008697490026177834,-91.15472201576748
0.0009545484566618347,-89.96142693597574
0.001047615752789665,-88.76194049246689
0.0011497569953977367,-87.5562837165506
0.0012618568830660211,-86.34447949083523
0.0013848863713938732,-85.12655269387915
0.0015199110829529348,-83.90253035499308
0.0016681005372000592,-82.67244182592667
0.0018307382802953698,-81.4363189772925
0.002009233002565048,-80.19419642886322
0.0022051307399030455,-78.94611182433415
0.0024201282647943836,-77.69210616276703
0.0026560877829466868,-76.43222420073496
0.0029150530628251786,-75.1665149411472
0.0031992671377973846,-73.89503222683537
0.0035111917342151347,-72.61783545919205
0.0038535285937105314,-71.3349904644081
0.0042292428743894986,-70.04657053209095
0.004641588833612782,-68.75265765315064
0.0050941380148163806,-67.45334398567826
0.005590810182512228,-66.1487335789453
0.006135907273413176,-64.83894438640243
0.006734150657750828,-63.52411059839598
0.007390722033525783,-62.20438532395255
0.008111308307896872,-60.87994364806112
0.008902150854450393,-59.55098608603527
0.009770099572992257,-58.21774244937414
0.010722672220103242,-56.880476127672694
0.011768119524349991,-55.53948877821057
0.01291549665014884,-54.19512539859644
0.014174741629268062,-52.84777973812302
0.015556761439304723,-51.49789998033963
0.01707352647470692,-50.14599460306706
0.018738174228603847,-48.79263829328832
0.020565123083486535,-47.43847776402637
0.022570197196339216,-46.0842372898755
0.024770763559917114,-44.73072374909323
0.02718588242732943,-43.378830935292555
0.029836472402833405,-42.02954288328202
0.032745491628777317,-40.68393594412381
0.03593813663804629,-39.34317934658008
0.0394420605943766,-38.00853399803237
0.043287612810830614,-36.681349309310825
0.04750810162102798,-35.363057875349284
0.0521400828799969,-34.055167906735996
0.0572236765935022,-32.7592533842362
0.0628029144183426,-31.476941996027936
0.06892612104349702,-30.209901011225195
0.07564633275546291,-28.959821337745364
0.08302175681319753,-27.728400101602723
0.09111627561154896,-26.517322162082074
0.1,-25.328241037309077
