c,zeta
1e-05,-151.73798299721662
1.0974987654930568e-05,-150.82567633075908
1.2045035402587812e-05,-149.90371311549038
1.3219411484660286e-05,-148.97240778965283
1.4508287784959402e-05,-148.03204964622122
1.5922827933410938e-05,-147.08290379559142
1.747528400007683e-05,-146.12521222308655
1.917910261672489e-05,-145.15919491231531
2.104904144512022e-05,-144.18505100959598
2.310129700083158e-05,-143.20296000852238
2.5353644939701114e-05,-142.2130829372611
2.782559402207126e-05,-141.2155635343154
3.053855508833412e-05,-140.21052940125153
3.351602650938841e-05,-139.19809312330136
3.678379771828634e-05,-138.17835335083362
4.037017258596558e-05,-137.1513958364352
4.430621457583878e-05,-136.11729442384248
4.8626015800653536e-05,-135.0761119861748
5.3366992312063123e-05,-134.02790131193717
5.8570208180566735e-05,-132.97270593806437
6.428073117284319e-05,-131.91056092992233
7.054802310718646e-05,-130.8414936086809
7.742636826811278e-05,-129.76552422684955
8.497534359086438e-05,-128.68266659304163
9.326033468832199e-05,-127.59292864722649
0.00010235310218990269,-126.4963129878528
0.00011233240329780277,-125.39281735229257
0.0001232846739442066,-124.28243505208516
0.00013530477745798074,-123.16515536445489
0.0001484968262254465,-122.0409638815464
0.00016297508346206434,-120.90984281878053
0.0001788649529057435,-119.77177128368669
0.00019630406500402724,-118.62672550651538
0.00021544346900318845,-117.47467903389405
0.00023644894126454073,-116.31560288676121
0.00025950242113997375,-115.14946568380128
0.0002848035868435802,-113.97623373162236
0.00031257158496882353,-112.79587108296359
0.0003430469286314919,-111.60833956431141
0.00037649358067924713,-110.4135987744412
0.00041320124001153384,-109.211606055595
0.00045348785081285824,-108.00231643926837
0.0004977023564332114,-106.78568256892558
0.0005462277217684342,-105.56165460239075
0.0005994842503189409,-104.33018009720547
0.0006579332246575682,-103.09120388290114
0.0007220809018385471,-101.84466792493325
0.0007924828983539178,-100.59051118597519
0.0008697490026177834,-99.32866949139752
0.0009545484566618347,-98.0590754070752
0.001047615752789665,-96.7816581391986
0.0011497569953977367,-95.49634346752092
0.0012618568830660211,-94.20305372548144
0.0013848863713938732,-92.90170784290181
0.0015199110829529348,-91.59222146947118
0.0016681005372000592,-90.27450720001086
0.0018307382802953698,-88.94847492551632
0.002009233002565048,-87.61403233719098
0.0022051307399030455,-86.271085614041
0.0024201282647943836,-84.91954032802772
0.0026560877829466868,-83.5593026041407
0.0029150530628251786,-82.19028057592143
0.0031992671377973846,-80.81238617972248
0.0035111917342151347,-79.42553733308819
0.0038535285937105314,-78.02966054378503
0.0042292428743894986,-76.62469399583277
0.004641588833612782,-75.2105911569883
0.0050941380148163806,-73.7873249480575
0.005590810182512228,-72.35489250768332
0.006135907273413176,-70.91332057639984
0.006734150657750828,-69.46267151030995
0.007390722033525783,-68.00304991736547
0.008111308307896872,-66.5346098876739
0.008902150854450393,-65.05756276347633
0.009770099572992257,-63.57218536466329
0.010722672220103242,-62.07882855245725
0.011768119524349991,-60.57792597812396
0.01291549665014884,-59.07000282661444
0.014174741629268062,-57.5556843286489
0.015556761439304723,-56.03570378107625
0.01707352647470692,-54.51090978682503
0.018738174228603847,-52.98227240502088
0.020565123083486535,-51.45088789147865
0.022570197196339216,-49.91798171216112
0.024770763559917114,-48.38490952922177
0.02718588242732943,-46.85315589211638
0.029836472402833405,-45.32433041526073
0.032745491628777317,-43.80016128806251
0.03593813663804629,-42.282486040998045
0.0394420605943766,-40.77323957977537
0.043287612810830614,-39.27443959464663
0.04750810162102798,-37.78816954899152
0.0521400828799969,-36.316559545372115
0.0572236765935022,-34.86176545327198
0.0628029144183426,-33.42594675586329
0.06892612104349702,-32.011243629231465
0.07564633275546291,-30.61975380326698
0.08302175681319753,-29.2535097668296
0.09111627561154896,-27.914456870016227
0.1,-26.6044328440118
