D,F/R
2.672450125216681,-501.71486774626254
2.7711136584710663,-467.0441875730419
2.869777191725451,-435.87280437591704
2.968440724979837,-407.7426107081589
3.0671042582342216,-382.26824429465114
3.1657677914886064,-359.12363400839666
3.2644313247429917,-338.0313809529263
3.3630948579973765,-318.7542926063075
3.4617583912517618,-301.0885853891475
3.5604219245061475,-284.8583903615002
3.6590854577605323,-269.91128427666973
3.7577489910149176,-256.1146326927307
3.856412524269303,-243.35258354853428
3.955076057523687,-231.5235758890594
4.053739590778072,-220.53827347990133
4.152403124032458,-210.31783978257727
4.2510666572868425,-200.79247652399005
4.349730190541228,-191.90022154378968
4.448393723795613,-183.58590261158648
4.547057257049999,-175.8002635546744
4.645720790304383,-168.49921675602218
4.7443843235587675,-161.6432019868902
4.843047856813153,-155.19663943440221
4.941711390067538,-149.1274553457024
5.040374923321925,-143.40667390151177
5.1390384565763085,-138.008063280182
5.237701989830693,-132.90782811459238
5.336365523085078,-128.08434152012424
5.435029056339464,-123.51791097945855
5.53369258959385,-119.19057328039469
5.632356122848234,-115.08591445631146
5.73101965610262,-111.18891130207851
5.829683189357004,-107.48579155763804
5.928346722611389,-103.96391028501175
6.0270102558657745,-100.61164032674769
6.125673789120159,-97.41827503911306
6.224337322374545,-94.37394174822172
6.32300085562893,-91.46952460254147
6.421664388883315,-88.69659565529984
6.5203279221377,-86.04735306529491
6.618991455392084,-83.51456639322691
6.717654988646471,-81.0915260784442
6.816318521900855,-78.7719993957471
6.914982055155241,-76.55019007136
7.013645588409625,-74.42070198109805
7.11230912166401,-72.37850634106108
7.210972654918396,-70.41891201008632
7.309636188172781,-68.53753857010179
7.408299721427166,-66.73029188953218
7.50696325468155,-64.99334191040695
