D,F/R_pH_low,F/R_pH_mid,F/R_pH_high
0.1,1670.9908761689585,2407.809590642055,3311.5197020405817
0.2,1729.9432149049585,2438.1108230813256,3301.365951001752
0.3,1786.9352907099355,2473.6404521285554,3306.755940133106
0.4,1836.36025855519,2505.1189344763525,3313.131644971114
0.5,1878.1710822158502,2531.296638329948,3317.518842826966
0.6,1912.9874854173288,2552.106603325146,3318.8745685939066
0.7,1941.7085845482377,2568.0628897566235,3317.1518895217696
0.7999999999999999,1965.1775652924946,2579.7503308238815,3312.56859883362
0.8999999999999999,1984.1519210651218,2587.7484321304055,3305.4516160361854
0.9999999999999999,1999.2866966941644,2592.583677196619,3296.13941670862
1.0999999999999999,2011.1389556347667,2594.7151325380505,3284.951142273157
1.2,2020.1804176361939,2594.5384677882626,3272.17345708713
1.3,2026.810025296285,2592.392104053533,3258.057920254068
1.4000000000000001,2031.3651413365026,2588.5640751143237,3242.8205230377853
1.5000000000000002,2034.1314734894913,2583.299389454429,3226.6566737626717
1.6000000000000003,2035.3525440087385,2576.8077702511146,3209.7230593055106
1.7000000000000004,2035.2363997702353,2569.268793538894,3192.157174377163
1.8000000000000005,2033.9611865576846,2560.836285756953,3174.0755755123178
1.9000000000000006,2031.68258302172,2551.646158150832,3155.5791401784077
2.0000000000000004,2028.5268323726561,2541.8037894403997,3136.755638673809
2.1000000000000005,2024.6087082778095,2531.408709588487,3117.680019752263
2.2000000000000006,2020.0265304539657,2520.544979807496,3098.4154521534956
2.3000000000000007,2014.8649214744626,2509.2843483977367,3079.018356506838
2.400000000000001,2009.1982910106165,2497.690060811856,3059.533359723101
2.500000000000001,2003.091708197212,2485.8171473132593,3040.000098355287
2.600000000000001,1996.6020687527025,2473.713443647652,3020.452314521127
2.700000000000001,1989.7791405305643,2461.4204325516207,3000.918878518772
2.800000000000001,1982.666461880881,2448.9740422341,2981.4243406508526
2.9000000000000012,1975.3021981399463,2436.4054428987415,2961.990426905986
3.0000000000000013,1967.7199174350899,2423.7417723582726,2942.635911922661
3.1000000000000014,1959.9493428676722,2411.006880709507,2923.3756338567678
3.2000000000000015,1952.016764772841,2398.221625620564,2904.223619186445
3.3000000000000016,1943.945298537796,2385.404014628114,2885.1918446959235
3.4000000000000017,1935.7554555733425,2372.5699064841347,2866.290410112752
3.5000000000000018,1927.466253931449,2359.7342625156475,2847.527649092342
3.6000000000000014,1919.0942264819885,2346.9102684951818,2828.9102442876124
3.7000000000000015,1910.655106854408,2334.1084845447517,2810.443587513692
3.8000000000000016,1902.1616942167507,2321.339989053045,2792.1318123352494
3.9000000000000017,1893.6257779028344,2308.6127480571886,2773.978422228422
4.000000000000002,1885.0577495700925,2295.9340941104183,2755.9856450070024
4.100000000000002,1876.466764340136,2283.3102388829952,2738.154937154533
4.200000000000002,1867.860802201068,2270.746312955309,2720.4889860378685
4.3000000000000025,1859.2469590517321,2258.246727751689,2702.9898374635313
4.400000000000002,1850.631515192149,2245.8152181688147,2685.6588674351274
4.500000000000003,1842.02047432853,2233.455539466522,2668.4967934133224
4.600000000000002,1833.4195946352538,2221.171459818918,2651.503732751702
4.700000000000002,1824.834015193104,2208.966228873466,2634.678755779983
4.8000000000000025,1816.268369161117,2196.842673537289,2618.021082341205
4.900000000000002,1807.7266432357462,2184.8029856576427,2601.5299412723
5.000000000000003,1799.2121154869003,2172.8486381982343,2585.204021005612
6.000000000000003,1716.074313241155,2058.1693944738163,2430.7864190222394
7.000000000000003,1637.5013239973632,1952.4063917386072,2291.292190354107
8.000000000000002,1563.9244739214475,1855.0918856143462,2164.953659185626
9.000000000000004,1495.2370139480524,1765.478707071103,2050.1008718557305
