D,F/R_pH_low,F/R_pH_mid,F/R_pH_high
0.1,4996.407164783436,6627.8691920368055,8496.407447806954
0.2,4790.540323359422,6296.192162292204,8000.605166161112
0.3,4653.310566380581,6068.671381415765,7657.224840958776
0.4,4542.906999560832,5885.110064788242,7380.854521065187
0.5,4447.461744959329,5727.679990243656,7145.552971749602
0.6,4360.872704413565,5586.89911229589,6937.254092706826
0.7,4280.24870302457,5457.9747128136105,6748.600227534725
0.7999999999999999,4203.909949399297,5337.9707222434945,6574.962794977699
0.8999999999999999,4130.87816030777,5225.047656472669,6413.344857187452
0.9999999999999999,4060.540371270718,5117.964038063498,6261.664487316119
1.0999999999999999,3992.4994243723436,5015.848751865201,6118.420069630571
1.2,3926.4850206419183,4918.063827961081,5982.485733180621
1.3,3862.305405557752,4824.1278220587255,5852.994269523878
1.4000000000000001,3799.820247136149,4733.664252551377,5729.2574278289
1.5000000000000002,3738.9195575050453,4646.371404499753,5610.717589910146
1.6000000000000003,3679.5175179769317,4562.012577848855,5496.928936459978
1.7000000000000004,3621.5512801443483,4480.362864200028,5387.480885395246
1.8000000000000005,3564.9510694275054,4401.242550519585,5282.039762434958
1.9000000000000006,3509.658992091869,4324.498668646578,5180.321281915619
2.0000000000000004,3455.625766931206,4250.001735092053,5082.083799361736
2.1000000000000005,3402.810057745898,4177.635927028758,4987.113500945443
2.2000000000000006,3351.1776374536485,4107.286493234321,4895.205378017666
2.3000000000000007,3300.675104925868,4038.84125440115,4806.181571276798
2.400000000000001,3251.288462138468,3972.2399089681558,4719.882491287182
2.500000000000001,3202.9717885185314,3907.3869050523667,4636.16435874006
2.600000000000001,3155.691637844008,3844.201349903754,4554.904668500383
2.700000000000001,3109.415327816094,3782.608178184995,4475.965335340632
2.800000000000001,3064.1109527238,3722.53958771311,4399.232149530397
2.9000000000000012,3019.7476815420764,3663.9317038502954,4324.598769205974
3.0000000000000013,2976.297992086997,3606.756123409378,4252.009502228758
3.1000000000000014,2933.7350618643054,3550.9233570737615,4181.327133638172
3.2000000000000015,2892.032213964135,3496.395508858802,4112.486691368117
3.3000000000000016,2851.166794707739,3443.1332899876097,4045.422725808731
3.4000000000000017,2811.116284614154,3391.081243323435,3980.049067238053
3.5000000000000018,2771.858178565733,3340.206020177134,3916.3107115683774
3.6000000000000014,2733.3780909334355,3290.458982401118,3854.1329887311285
3.7000000000000015,2695.638630329736,3241.793268379186,3793.444593094079
3.8000000000000016,2658.6239846243348,3194.1887002188664,3734.211059520563
3.9000000000000017,2622.315181853288,3147.6109093813093,3676.379614892181
4.000000000000002,2586.6949441611446,3102.0142251600655,3619.882592671745
4.100000000000002,2551.7386591908507,3057.3663639732636,3564.671132560591
4.200000000000002,2517.4288979765092,3013.6330288795994,3510.694197166638
4.3000000000000025,2483.7509608119703,2970.808568530263,3457.9401088480145
4.400000000000002,2450.691787845775,2928.853849271373,3406.354965660862
4.500000000000003,2418.235294210645,2887.74101541786,3355.8889491026516
4.600000000000002,2386.358705498377,2847.437543742805,3306.510297912357
4.700000000000002,2355.0572232104732,2807.935525121113,3258.1835466384277
4.8000000000000025,2324.3110845689876,2769.2027842001266,3210.8816898161044
4.900000000000002,2294.105786947927,2731.2167042809874,3164.5656008786555
5.000000000000003,2264.426377187866,2693.954702072296,3119.1953051527707
6.000000000000003,1993.9400606711072,2357.150244296761,2712.2690663841863
7.000000000000003,1764.1485048795023,2074.732565023703,2375.1871605317788
8.000000000000002,1566.9803244335612,1834.9712696823358,2091.8668573461655
9.000000000000004,1396.3965283511432,1629.364871822493,1850.9308334022064
