D,F/R_pH_low,F/R_pH_mid,F/R_pH_high
0.1,1918.4456610696539,2628.530220409427,3413.6512421414163
0.2,1960.3633681633025,2642.2418056668957,3392.082336191659
0.3,2003.966446443411,2664.716694035442,3388.2572899935185
0.4,2042.3857124438277,2685.470201612543,3387.095871500502
0.5,2074.955435805515,2702.65270170707,3385.247767632948
0.6,2101.878121851266,2715.790687479609,3381.3911484749597
0.7,2123.7657287203533,2725.117022084417,3375.269419177093
0.7999999999999999,2141.249566396027,2731.0086572617092,3366.940461935371
0.8999999999999999,2154.9279915544616,2733.8886873762167,3356.6077796176974
0.9999999999999999,2165.3338309331657,2734.1633859673234,3344.5135375809996
1.0999999999999999,2172.928631569214,2732.1977842564993,3330.900964261259
1.2,2178.108490376759,2728.313084199678,3315.9963331315075
1.3,2181.211783368956,2722.7880557024573,3300.002749004821
1.4000000000000001,2182.5268444070334,2715.8624387017444,3283.0970157573433
1.5000000000000002,2182.2993143128947,2707.7417869879564,3265.4426247185097
1.6000000000000003,2180.7397692512445,2698.603384064026,3247.170068611122
1.7000000000000004,2178.028949536254,2688.599922843525,3228.395219279348
1.8000000000000005,2174.322197953579,2677.862783676254,3209.2166710530323
1.9000000000000006,2169.756233062316,2666.509216893376,3189.7202978028686
2.0000000000000004,2164.4406498401268,2654.6282160541264,3169.9812706562802
2.1000000000000005,2158.47649533568,2642.305825127429,3150.063902492906
2.2000000000000006,2151.9502591844152,2629.614471169763,3130.0223405365414
2.3000000000000007,2144.93632744266,2616.615846252361,3109.9053172402887
2.400000000000001,2137.500316523829,2603.364560219118,3089.7508786242943
2.500000000000001,2129.6996669952696,2589.908150698955,3069.593007256146
2.600000000000001,2121.584615931711,2576.287916710595,3049.4605675018024
2.700000000000001,2113.199086958858,2562.5396048695006,3029.378206406972
2.800000000000001,2104.581461217907,2548.6940841356395,3009.3668040815055
2.9000000000000012,2095.7653356057062,2534.7780461801663,2989.4448871416685
3.0000000000000013,2086.7802204090967,2520.8146532871065,2969.6284315156986
3.1000000000000014,2077.6522330972475,2506.8242246613245,2949.9298174615
3.2000000000000015,2068.404443613025,2492.8244647169417,2930.3609094850012
3.3000000000000016,2059.057067953031,2478.8305428005565,2910.931775597458
3.4000000000000017,2049.628011836886,2464.855771944106,2891.6508255756667
3.5000000000000018,2040.1340064168435,2450.912874991775,2872.5248925666874
3.6000000000000014,2030.5894872036909,2437.013016802131,2853.55932321345
3.7000000000000015,2021.0083617567366,2423.1648735901717,2834.758317278792
3.8000000000000016,2011.4016744027383,2409.377901304407,2816.1249416556598
3.9000000000000017,2001.7796433507935,2395.6584996733945,2797.661743534843
4.000000000000002,1992.151213825905,2382.012588278307,2779.370090508826
4.100000000000002,1982.5242059627974,2368.4450744350784,2761.250663724476
4.200000000000002,1972.9053582028182,2354.9598763938225,2743.3054526728697
4.3000000000000025,1963.3006212762587,2341.5602881269137,2725.5358715854095
4.400000000000002,1953.7152146683486,2328.2490101766107,2707.9427236978704
4.500000000000003,1944.1541924439216,2315.0288708140715,2690.5262058400326
4.600000000000002,1934.6224634230246,2301.9028075290216,2673.285961060965
4.700000000000002,1925.1243765418292,2288.8732980446607,2656.22062635105
4.8000000000000025,1915.6638323616758,2275.9424525796308,2639.329026139943
4.900000000000002,1906.24412194501,2263.111782431283,2622.610027587153
5.000000000000003,1896.8678516108448,2250.3821053467227,2606.0619869714433
6.000000000000003,1805.8856695516997,2128.6930396493517,2449.6821326233576
7.000000000000003,1720.595946171253,2017.0004394925081,2308.5742126649834
8.000000000000002,1641.1598044655175,1914.57228760207,2180.864084688987
9.000000000000004,1567.2957283906032,1820.4900283286795,2064.8215029000226
10.000000000000004,1498.5798782611762,1733.855501380789,1958.9480781109771
11.000000000000004,1434.562609623354,1653.8540875695855,1861.9703302507123
12.000000000000005,1374.813858516875,1579.7678042828702,1772.811711599865
13.000000000000005,1318.9394051930462,1510.9708086183803,1690.5603368969657
14.000000000000007,1266.584643727133,1446.9192217032537,1614.4409299832428
15.000000000000005,1217.4332910453213,1387.1401125153218,1543.790893096403
16.000000000000004,1171.2040978249258,1331.221210847646,1478.0409250396376
17.000000000000004,1127.6470519647626,1278.8018056978551,1416.6989597325364
18.000000000000004,1086.5395105788375,1229.5651439023893,1359.3375586808522
19.0,1047.68299028524,1183.232069899958,1305.5836759317474
20.0,1010.8999931686901,1139.55549611026,1255.110000685156
21.0,976.031402810622,1098.3159645294515,1207.6281395741034
22.0,942.9340871820709,1059.3178693485677,1162.8830093590504
22.999999999999996,911.4790511617421,1022.386248074033,1120.6479794317845
23.999999999999996,881.5496933999705,987.3640925546201,1080.7211175400894
24.999999999999996,853.0403339203616,954.1101349031669,1042.921750492938
25.999999999999993,825.8549603893395,922.4968670421856,1007.0877274262568
26.999999999999993,799.9061336863853,892.4088278248452,973.0731589840358
27.999999999999993,775.1140414161986,863.7412212070897,940.746329610457
28.999999999999993,751.4056754547053,836.3988446360111,909.9879582131571
29.99999999999999,728.7141054727865,810.2948347712853,880.6900237797179
30.999999999999993,706.9778499808261,785.349759639387,852.7541064433157
31.999999999999996,686.1403494527405,761.4908748640827,826.090441435442
33.0,666.1494661002592,738.651590807587,800.617107356391
34.0,646.9570266328182,716.7705634597236,776.2591339127763
35.0,628.5184899701699,695.7912935935645,752.9476532622259
36.00000000000001,610.792545145079,675.6616949598216,730.6194371465034
37.00000000000001,593.7409475225483,656.3336157239972,709.2161484254847
38.00000000000001,577.3280862168479,637.7625340945652,688.6841349696366
39.000000000000014,561.5208459808098,619.9070878929725,668.9738357927617
40.000000000000014,546.2883720606106,602.7289459240656,650.0392426499568
41.000000000000014,531.6018724968494,586.1924603612364,631.8378184030698
42.00000000000002,517.4344643310154,570.2644650103698,614.3300613826445
43.00000000000002,503.76098464602,554.9140140974006,597.4792534995205
44.00000000000002,490.5578192894254,540.1122564604854,581.2512533748546
45.00000000000003,477.80301868980956,525.832155556325,565.6141553056857
46.00000000000003,465.47583917941444,512.048411906538,550.5383286509759
47.00000000000003,453.55678699384947,498.73760742979243,535.9960712119912
48.000000000000036,442.0275826878988,485.87749940629493,521.9613033237902
49.000000000000036,430.87099546079367,473.4472481280976,508.40987508063864
50.000000000000036,420.0708013020614,461.427328573056,495.31894645822723
51.00000000000004,409.6117208804512,449.79936541445034,482.66716024065084
52.00000000000004,399.47926503744304,438.5459776349905,470.43441111359414
53.00000000000004,389.6598143509722,427.65098334805407,458.6018414485476
54.00000000000005,380.140535759163,417.099015034285,447.15174521586914
55.00000000000005,370.9092149985493,406.87550860719887,436.0673876203056
56.00000000000005,361.954294102883,396.96677698409263,425.3329778587401
57.00000000000006,353.2648163182571,387.35985887712354,414.93365449531814
58.00000000000006,344.8304078868274,378.04249540547045,404.8552660691917
59.00000000000006,336.6412232043476,369.00307886574393,395.08468529176236
60.000000000000064,328.6879093451858,360.23060497236855,385.60927251872613
61.00000000000006,320.9615813689936,351.7146571738876,376.4171068647948
62.00000000000005,313.4537870826593,343.44525750920707,367.49704165555937
63.00000000000005,306.1564924636267,335.4130906399811,358.8383172136437
64.00000000000004,299.0620326559946,327.60924591887095,350.4307894610855
65.00000000000004,292.16306222634216,320.0251733408376,342.26476292469374
66.00000000000003,285.45274280122635,312.65280422168354,334.33128339730195
