D,F/R_pH_low,F/R_pH_mid,F/R_pH_high
0.1,7475.486295297038,9599.666794131575,11773.490118081803
0.2,6720.502654192104,8579.88885085463,10459.492745731646
0.3,6206.669805653223,7887.7147868231295,9573.208307071225
0.4,5801.439467013748,7343.933369864073,8880.494487822476
0.5,5463.935293615988,6893.146088015443,8309.195059415406
0.6,5171.664791016612,6504.729659357104,7819.34744503939
0.7,4912.656712963986,6162.284887145906,7389.51713439655
0.7999999999999999,4679.20834234683,5855.189647483516,7005.785391246409
0.8999999999999999,4466.247191580683,5576.411193128873,6658.915384240815
0.9999999999999999,4270.185745675378,5320.949382300106,6342.327003485772
1.0999999999999999,4088.4004022198,5085.1317631743395,6051.180080699857
1.2,3918.9136420734817,4866.179683736405,5781.807412039256
1.3,3760.1568429589593,4661.879115550267,5531.2897755748345
1.4000000000000001,3610.9011449801333,4470.522988006245,5297.370991678512
1.5000000000000002,3470.14932780591,4290.678194455376,5078.162061544114
1.6000000000000003,3337.061934117877,4121.171060769756,4872.1163648270995
1.7000000000000004,3210.9385597210926,3961.015517414659,4677.936335491351
1.8000000000000005,3091.1826241265344,3809.3731032392748,4494.520535910583
1.9000000000000006,2977.2774492799927,3665.519602041094,4320.91977471993
2.0000000000000004,2868.778685631158,3528.8331955893327,4156.320369238633
2.1000000000000005,2765.2859690606024,3398.750223519635,3999.9878381912786
2.2000000000000006,2666.4497861800237,3274.803617191041,3851.3131414561794
2.3000000000000007,2571.9696080217886,3156.557559489448,3709.730897678584
2.400000000000001,2481.5603896043617,3043.6249911880523,3574.7402037697475
2.500000000000001,2394.99544206092,2935.693221923608,3445.9353008842845
2.600000000000001,2312.0038128131887,2832.393750028637,3322.8452607205513
2.700000000000001,2232.3890996607092,2733.433346674386,3205.093941809566
2.800000000000001,2155.9599317319667,2638.625488115464,3092.439088978411
2.9000000000000012,2082.570771791459,2547.697507095916,2984.534308527286
3.0000000000000013,2012.0463820263572,2460.437820155394,2881.1100601150747
3.1000000000000014,1944.239522150795,2376.6489706017505,2781.915582685316
3.2000000000000015,1879.011415945057,2296.144870714992,2686.714703491884
3.3000000000000016,1816.2354971537954,2218.7566625085974,2595.296090106104
3.4000000000000017,1755.7947521504366,2144.327873937476,2507.4606859724254
3.5000000000000018,1697.5930048346838,2072.730666436199,2423.0269702909195
3.6000000000000014,1641.5097084272752,2003.806619931924,2341.8599265955972
3.7000000000000015,1587.4409852950812,1937.4189711284205,2263.6915400415496
3.8000000000000016,1535.287944522851,1873.4380374841505,2188.4847272579436
3.9000000000000017,1484.9818112237285,1811.7732927914458,2116.022983209865
4.000000000000002,1436.498872438489,1752.391723985608,2046.2984897764743
4.100000000000002,1389.68600320485,1695.0960256695023,1979.068451193435
4.200000000000002,1344.5012895940956,1639.8314056023933,1914.2646937547095
4.3000000000000025,1300.876975408183,1586.505101534642,1851.7728698049757
4.400000000000002,1258.7566271528322,1535.0582914427625,1791.5201582875911
4.500000000000003,1218.0507738200615,1485.3624256121484,1733.3497278181062
4.600000000000002,1178.7267059829287,1437.379478151999,1677.2143786861325
4.700000000000002,1140.7348197141614,1391.0457209538285,1623.0361063520686
4.8000000000000025,1104.0161585247656,1346.2859278286053,1570.7231882214478
4.900000000000002,1068.5225201757119,1303.0385861076984,1520.2006896114515
5.000000000000003,1034.2031909615735,1261.2392540464725,1471.3903284106016
6.000000000000003,747.1390147423533,912.1817762100474,1064.5045512950978
7.000000000000003,539.9406425317688,660.6596445644917,771.9235215901189
8.000000000000002,389.51814731462434,478.0720964947045,559.6682011760814
9.000000000000004,280.0507416825876,345.0587392604098,404.986031201066
10.000000000000004,200.37841255354783,248.0738188315711,292.0808461778553
11.000000000000004,142.47080583801142,177.4172006289901,209.6972228051981
12.000000000000005,100.48209622311855,126.04321278131268,149.68219720531937
13.000000000000005,70.12954892016059,88.79155420695852,106.07027025068196
14.000000000000007,48.26787201049161,61.86852461672802,74.47448555952431
15.000000000000005,32.587188925969805,42.48291189100788,51.6635129914671
16.000000000000004,21.394052033771985,28.583694002618916,35.25909549204518
17.000000000000004,13.449521067193489,18.666659458079934,23.513851116426533
18.000000000000004,7.849323241941352,11.631221217599109,15.146836824551997
19.0,3.935437607882966,6.674593657071335,9.221972894750479
20.0,1.230540172563563,3.2130917067701112,5.057452150858579
21.0,-0.6109780703004042,0.8231503001998902,2.157660012584722
22.0,-1.8385697075654708,-0.8016300169467516,0.1634729129588066
22.999999999999996,-2.631855371552596,-1.8823811143874352,-1.1847264461940494
23.999999999999996,-3.1198452817719096,-2.578313910545232,-2.0741747049045585
24.999999999999996,-3.394929916568117,-3.003756632652766,-2.639569486819664
25.999999999999993,-3.5230820026381444,-3.2405942878922183,-2.9775851574814736
26.999999999999993,-3.551239713554879,-3.34729644176903,-3.1574113487780497
27.999999999999993,-3.5126627195043016,-3.365471790164693,-3.2284235988887366
28.999999999999993,-3.430796492299471,-3.324605760705236,-3.225730581926384
29.99999999999999,-3.322060752937299,-3.2454859019281153,-3.174186012724461
30.999999999999993,-3.1978651188707077,-3.1426803628639797,-3.0912981527920964
31.999999999999996,-3.0660551232344937,-3.026318970271912,-2.9893218220183337
33.0,-2.9319487857250452,-2.9033701446458116,-2.876762418394324
34.0,-2.799069476871421,-2.7785484623314973,-2.7594434291195906
35.0,-2.669692593356772,-2.6549907047406727,-2.6413037794221155
36.00000000000001,-2.5452166918497827,-2.534717063066964,-2.524942757797958
37.00000000000001,-2.426435644662387,-2.4189706632609145,-2.41202163767086
38.00000000000001,-2.3137300676152788,-2.3084564957093376,-2.3035474993941816
39.000000000000014,-2.2072030957536675,-2.2035119906551817,-2.200076106905722
40.000000000000014,-2.1067755789394575,-2.1042272076246915,-2.1018550464298973
41.000000000000014,-2.0122525414042163,-2.0105293621435423,-2.008925293330267
42.00000000000002,-1.923369452110178,-1.9222421294028103,-1.921192710050737
43.00000000000002,-1.8398238910089346,-1.8391268149051232,-1.8384779277176253
44.00000000000002,-1.76129703469804,-1.7609106505635679,-1.7605509818055676
45.00000000000003,-1.6874677813152628,-1.687305736266443,-1.6871548975658224
