D,F/R
0.1,4651.926057792694
0.2,4412.596161201358
0.3,4252.257120217029
0.4,4123.470032428396
0.5,4012.799036463101
0.6,3913.127439853686
0.7,3821.0487260174796
0.7999999999999999,3734.53448535514
0.8999999999999999,3652.378375671387
0.9999999999999999,3573.798407291614
1.0999999999999999,3498.2731960702627
1.2,3425.4310185213917
1.3,3355.0035244151386
1.4000000000000001,3286.78793849847
1.5000000000000002,3220.6268977889886
1.6000000000000003,3156.388671131131
1.7000000000000004,3093.962105049401
1.8000000000000005,3033.260728068958
1.9000000000000006,2974.198186991301
2.0000000000000004,2916.7001340880934
2.1000000000000005,2860.7006776754965
2.2000000000000006,2806.1394157311615
2.3000000000000007,2752.962338567922
2.400000000000001,2701.1246076219736
2.500000000000001,2650.5631051657965
2.600000000000001,2601.235084504838
2.700000000000001,2553.0958870081454
2.800000000000001,2506.106968140827
2.9000000000000012,2460.2317142085512
3.0000000000000013,2415.4439912797366
3.1000000000000014,2371.68108925622
3.2000000000000015,2328.937062536813
3.3000000000000016,2287.169475655378
3.4000000000000017,2246.346574328072
3.5000000000000018,2206.437920002248
3.6000000000000014,2167.411470922831
3.7000000000000015,2129.239545409422
3.8000000000000016,2091.8885384877326
3.9000000000000017,2055.3613370966473
4.000000000000002,2019.6217523345636
4.100000000000002,1984.645715624833
4.200000000000002,1950.410265350238
4.3000000000000025,1916.8938490290584
4.400000000000002,1884.0758850619002
4.500000000000003,1851.9317339573392
4.600000000000002,1820.4497592704465
4.700000000000002,1789.6047204618922
4.8000000000000025,1759.390246636841
4.900000000000002,1729.7805875244965
5.000000000000003,1700.7637162999042
6.000000000000003,1440.0097489140596
7.000000000000003,1224.2562300325858
8.000000000000002,1044.1041148675527
9.000000000000004,892.5906329533335
10.000000000000004,764.4288366166684
11.000000000000004,655.5283404416163
12.000000000000005,562.6614021597303
13.000000000000005,483.243516988276
14.000000000000007,415.1779961486831
15.000000000000005,356.7447554863842
16.000000000000004,306.5188609031388
17.000000000000004,263.3099636713136
18.000000000000004,226.11659991315383
19.0,194.0911536484837
20.0,166.51255135822169
21.0,142.764722512876
22.0,122.31958110679413
22.999999999999996,104.72320374020616
23.999999999999996,89.5846101872927
24.999999999999996,76.56656674366397
25.999999999999993,65.37779111685747
26.999999999999993,55.766557155433496
27.999999999999993,47.51525030023328
28.999999999999993,40.43573385006523
29.99999999999999,34.365393803369756
30.999999999999993,29.163689896783925
31.999999999999996,24.709201480393244
33.0,20.897111981242237
34.0,17.63698493561124
35.0,14.850839581499127
36.00000000000001,12.471464214917729
37.00000000000001,10.440984121029516
38.00000000000001,8.709605467477477
39.000000000000014,7.234485233666686
40.000000000000014,5.978806528569783
41.000000000000014,4.910943995338224
42.00000000000002,4.0037453513433965
43.00000000000002,3.2339154406206405
44.00000000000002,2.5814726681762115
45.00000000000003,2.029288097239401
46.00000000000003,1.562689854752308
47.00000000000003,1.1691088548090294
48.000000000000036,0.8377865106016429
49.000000000000036,0.5595211090565558
50.000000000000036,0.32643538697748253
51.00000000000004,0.13179927354501272
52.00000000000004,-0.030141609879765763
53.00000000000004,-0.16430327461485408
54.00000000000005,-0.2748840265203604
55.00000000000005,-0.36546736122909235
56.00000000000005,-0.43911129218095
57.00000000000006,-0.4984246973424081
58.00000000000006,-0.545631222393659
59.00000000000006,-0.5826261162010234
60.000000000000064,-0.6110237564638281
61.00000000000006,-0.6321980554295453
62.00000000000005,-0.647317601872829
63.00000000000005,-0.6573761942293214
64.00000000000004,-0.6632183795865768
65.00000000000004,-0.6655604772766773
66.00000000000003,-0.6650104322256141
67.00000000000003,-0.6620832231412287
68.00000000000003,-0.6572146124575797
69.00000000000003,-0.6507730839914613
70.00000000000001,-0.6430695609089763
71.00000000000001,-0.6343661250614832
72.00000000000001,-0.6248832326599072
73.0,-0.6148059572386577
74.0,-0.6042892799074164
75.0,-0.5934626839282432
75.99999999999999,-0.5824339111796888
76.99999999999999,-0.5712922278085878
77.99999999999999,-0.5601114799523662
78.99999999999999,-0.5489522679125168
79.99999999999997,-0.537864070304881
80.99999999999997,-0.5268869378227704
81.99999999999997,-0.5160529969635824
82.99999999999996,-0.5053877017926309
83.99999999999996,-0.4949108974278462
84.99999999999996,-0.48463773799421717
85.99999999999994,-0.474579454303896
86.99999999999994,-0.4647440028323864
87.99999999999994,-0.45513662401418725
88.99999999999994,-0.44576031192165727
89.99999999999993,-0.4366162078611412
